Profile: Function timing, sorted by time
Date:    Sun Jul 28 12:57:49 2002


Programmstatistik
-----------------
    2002 Jul 28 12:30 Befehlszeile: "C:\code\GePhex\bin\engine2"  
    Gesamtzeit: 257620,194 Millisekunden
    Zeit ausserhalb von Funktionen: 102,732 Millisekunden
    Aufruftiefe: 30
    Gesamtfunktionen: 4619
    Gesamtaufrufe: 55996062
    Funktionsabdeckung: 65,3%
    Berechneter Verwaltungsaufwand: 6
    Durchschnittlicher Aufwand: 6

Modulstatistik fuer engine2.exe
-------------------------------
    Zeit innerhalb des Moduls: 257517,462 Millisekunden
    100,0% Prozent im Modul
    4619 Funktionen im Modul
    Aufrufe im Modul: 55996062 
    Modulfunktionsabdeckung: 65,3%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
    1434,308   0,6     1434,308   0,6   753600 std::list<int,class std::allocator<int> >::_Acc::_Next(struct std::list<int,class std::allocator<int> >::_Node *) (model.obj)
    1428,231   0,6     1428,231   0,6   589916 std::list<int,class std::allocator<int> >::const_iterator::const_iterator(struct list<int,class std::allocator<int> >::const_iterator::_Node *) (model.obj)
    1386,522   0,5     1386,522   0,5   571207 utils::AutoPtrRef::incRefCount(void) (main.obj)
    1377,548   0,5     2183,943   0,8   382267 utils::AutoPtr<class renderer::ModuleControlBlock>::operator->(void) (runtimesystem.obj)
    1347,953   0,5     2976,365   1,2   196696 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::begin(void) (runtimesystem.obj)
    1346,499   0,5    11239,756   4,4    51660 std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::_Iput(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,char *,unsigned int) (sequencerstatusreceivernet.obj)
    1328,984   0,5     1328,984   0,5   712119 std::ios_base::rdstate(void) (main.obj)
    1259,936   0,5    20101,626   7,8    51591 std::basic_ostream<char,struct std::char_traits<char> >::operator<<(int) (sequencerstatusreceivernet.obj)
    1255,499   0,5     1429,358   0,6    97784 utils::Buffer::Buffer(unsigned char const *,int,int) (buffer.obj)
    1253,779   0,5     2672,523   1,0   133687 std::basic_streambuf<char,struct std::char_traits<char> >::sputc(char) (main.obj)
    1227,325   0,5     2403,907   0,9   500700 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool) (main.obj)
    1218,382   0,5     2004,879   0,8   201479 std::locale::facet::_Decref(void) (main.obj)
    1204,002   0,5     3985,891   1,5   209451 utils::Buffer::~Buffer(void) (buffer.obj)
    1200,436   0,5     1749,324   0,7   201492 std::locale::facet::_Incref(void) (main.obj)
    1194,136   0,5     1194,136   0,5   579520 utils::AutoPtrRef::refCount(void) (main.obj)
    1192,538   0,5     1192,538   0,5   590138 std::basic_streambuf<char,struct std::char_traits<char> >::pptr(void) (main.obj)
